"Short name",,"4G_ECGI","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","TA Sampls > 1.5 Km % [CDBH]","VoLTE Packet Loss DL_Nom [CBBH]","VoLTE Packet Loss UL_Nom [CBBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE IntraF HOSR Exec_DENOM [CBBH]","VoLTE IntraF HOSR Exec_NOM [CBBH]","VoLTE InterF HOSR Exec_DENOM [CBBH]","VoLTE InterF HOSR Exec_NOM [CBBH]"
,"4 Mar 23","404-02-902887-3",,,,,,,,,0.00,,,,,,,,,,,,-120.00,0.0000,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"PB_E_T1_CO_CHD670A_L_TDD","28 Feb 23","404-02-814670-45",100.00,100.00,0.04,864.27,8042.78,9.28,98.94,100.00,100.00,0.00,66.64,100.00,0.00,0.00,0.10,,,100.00,100.00,0.00,-118.32,59.4646,1.22,0.00,31.00,36.25,0.00,,,186.00,188.00,209.00,209.00,1.00,1.00,28.00,28.00
,"1 Mar 23","404-02-814670-45",100.00,99.79,0.00,757.40,2300.91,9.27,100.00,98.88,0.00,0.00,81.91,100.00,0.00,0.03,0.61,,,100.00,100.00,0.00,-117.76,56.1257,0.62,0.00,60.00,44.93,0.00,,,174.00,174.00,176.00,178.00,3.00,3.00,284.00,284.00
,"2 Mar 23","404-02-814670-45",99.80,100.00,0.00,797.42,3416.60,9.15,99.00,100.00,0.00,0.00,81.67,100.00,0.00,0.00,1.76,,,100.00,100.00,0.00,-117.64,54.3639,0.44,0.00,61.00,42.42,0.00,,,199.00,201.00,120.00,120.00,5.00,5.00,64.00,64.00
,"3 Mar 23","404-02-814670-45",99.68,99.68,0.00,706.20,4438.72,9.09,94.95,100.00,0.00,0.00,82.99,100.00,0.00,0.00,0.32,,,100.00,100.00,0.00,-117.35,56.2184,0.61,0.00,42.00,37.19,0.00,,,94.00,99.00,107.00,107.00,4.00,4.00,53.00,53.00
,"4 Mar 23","404-02-814670-45",100.00,100.00,0.00,864.84,6981.15,9.15,97.29,97.52,0.00,0.00,69.11,100.00,0.00,0.01,0.40,,,100.00,100.00,0.00,-117.51,61.2485,0.69,0.00,55.00,39.47,0.00,,,287.00,295.00,157.00,161.00,5.00,5.00,190.00,190.00
"PB_E_T1_OM_CHD173A_A_TDD","28 Feb 23","404-02-252449-41",99.86,99.71,0.18,897.01,2039.25,10.17,99.57,98.60,100.00,0.00,94.90,100.00,0.00,0.00,0.00,,,100.00,100.00,0.00,-116.08,91.2074,0.89,0.00,78.00,45.56,0.00,,,458.00,460.00,281.00,285.00,2.00,2.00,75.00,75.00
,"1 Mar 23","404-02-252449-41",100.00,100.00,0.00,786.45,3589.09,10.53,100.00,98.34,0.00,0.00,87.42,100.00,0.00,0.19,0.00,,,,100.00,0.00,-116.12,88.9138,1.09,0.00,20.00,34.78,0.00,,,159.00,159.00,178.00,181.00,0.00,0.00,17.00,17.00
,"2 Mar 23","404-02-252449-41",99.87,99.86,0.04,706.60,1155.79,10.08,99.26,100.00,100.00,0.00,98.58,100.00,0.00,0.00,0.05,,,100.00,100.00,0.00,-115.98,89.0778,0.66,0.00,113.00,45.35,0.00,,,403.00,406.00,192.00,192.00,1.00,1.00,99.00,99.00
,"3 Mar 23","404-02-252449-41",100.00,99.64,0.14,763.44,3378.64,10.16,99.63,97.19,0.00,0.00,90.58,100.00,,0.00,0.02,,,100.00,100.00,0.00,-115.75,86.0563,1.01,0.00,40.00,46.19,0.00,,,269.00,270.00,242.00,249.00,1.00,1.00,42.00,42.00
