Short name,,4G_ECGI,MV_RRC Setup Success Rate [CDBH],ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_E-UTRAN Average CQI [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],Paging record discarded At eNodeB [CDBH],MV_Average number of used DL PRBs [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE DCR [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],VoLTE SRVCC SR [CBBH],MV_PUSCH SINR [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE SRVCC Per Call Rate [CBBH],UL RSSI,MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_VoLTE SRVCC Per Call Rate_Nom [CBBH],MV_VoLTE SRVCC Per Call Rate_Denom [CBBH],MV_Average number of used UL PRBs [CDBH],TA Sampls > 1.5 Km % [CDBH],VoLTE Packet Loss DL_Nom [CBBH],VoLTE Packet Loss UL_Nom [CBBH],PS handover success rate_NOM [LTE Intra System] [CDBH],PS handover success rate_DENOM [LTE Intra System] [CDBH],PS handover success rate_NOM [LTE Inter System] [CDBH],PS handover success rate_DENOM [LTE Inter System] [CDBH],VoLTE IntraF HOSR Exec_DENOM [CBBH],VoLTE IntraF HOSR Exec_NOM [CBBH],VoLTE InterF HOSR Exec_DENOM [CBBH],VoLTE InterF HOSR Exec_NOM [CBBH]
,12-Feb-23,404-02-13082-42,100,99.74,0,972.17,9921.93,6.34,100,,100,0,29.71,100,0,0.02,0.15,,,100,,0,-116.23,13.1753,9.22,0,71,12.14,0,,,180,180,0,0,31,31,0,0
,13-Feb-23,404-02-13082-42,100,100,0,917.97,8392.92,6.49,100,,100,0,28.89,100,0,0.01,0.05,,,100,,0,-116.21,10.687,5.49,0,46,12.05,0,,,186,186,0,0,9,9,0,0
PB_E_T1_OM_KHRR43B_M,09-Feb-23,404-02-13082-46,99.91,99.95,0.04,512.02,1364.74,7.07,98.81,,100,0,94.73,100,0,0.47,0.7,,,100,,0,-113.23,69.9928,51.41,0,157,63.01,0,,,249,252,0,0,76,76,0,0
,10-Feb-23,404-02-13082-46,100,100,0,1045.72,11550.47,8.05,100,,0,0,55.67,100,0,0.21,0.59,,,100,,0,-116.89,72.7451,48.95,0,124,34.07,0,,,35,35,0,0,39,39,0,0
,11-Feb-23,404-02-13082-46,99.9,99.97,0,464.67,2602.19,7.18,100,,0,0,80.22,98.96,0,0.12,1.08,,,100,,0,-115.51,69.8607,44.63,0,99,53,0,,,87,87,0,0,54,54,0,0
,12-Feb-23,404-02-13082-46,99.9,100,0,674.15,2150.49,7.19,97.67,,100,0,84.13,100,0.97,0.51,1.12,,,100,,0,-115.97,74.4159,52.82,0,104,68.9,0,,,168,172,0,0,46,46,0,0
,13-Feb-23,404-02-13082-46,100,100,0,704.57,2271.68,7.36,100,,100,0,84.02,100,0,0.32,0.28,,,100,,0,-116.47,65.5749,54.22,0,106,60.27,0,,,91,91,0,0,15,15,0,0
PB_E_T1_OM_KHRR43C_C,09-Feb-23,404-02-13082-43,99.89,99.94,0,509.56,8455.05,8.78,99.28,,100,0,64.19,100,0,0.01,0.12,,,100,,0,-107.62,87.8208,60.68,0,154,73.82,0,,,276,278,0,0,38,38,0,0
,10-Feb-23,404-02-13082-43,99.9,99.97,0.01,866.27,10436.96,10.09,99.44,,100,0,62.18,100,0,0.01,0.03,,,100,,0,-118.03,102.6565,60.63,0,246,43.56,0,,,354,356,0,0,22,22,0,0
,11-Feb-23,404-02-13082-43,99.93,100,0.02,625.36,7949.41,9.47,99.67,,100,0,69.18,100,0.76,0.1,0.33,,,100,,0,-116.08,96.6831,52.66,0,149,34.72,0,,,298,299,0,0,34,34,0,0
,12-Feb-23,404-02-13082-43,100,99.95,0.03,1673.82,5796.86,9.24,100,,100,0,76.09,100,0.86,0.03,0.11,,,100,,0,-115.81,100.0928,49.56,0,132,86.08,0,,,206,206,0,0,51,51,0,0
,13-Feb-23,404-02-13082-43,99.92,100,0.04,1118.61,12019.99,10.09,99.67,,100,0,64.64,100,0,0.09,0.04,,,100,,0,-115.94,99.3315,67.51,0,193,47.76,0,,,299,300,0,0,22,22,0,0
