Short name,,4G_ECGI,RRC Setup Success Rate [CDBH],ERAB Setup Success Rate [CDBH],PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],PS handover success rate [LTE Intra System] [CDBH],PS handover success rate [LTE Inter System] [CDBH],CSFB Redirection Success Rate [CDBH],E-UTRAN Average CQI [CDBH],MV_Average number of used DL PRBs [CDBH],VoLTE ERAB Setup Success Rate [CBBH],VoLTE Drop Call Rate [CBBH]],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],VoLTE SRVCC SR [CBBH],VoLTE Intra-LTE Handover Success Ratio [CBBH],VoLTE Inter-Frequency Handover Success Ratio [CBBH],UL RSSI [CBBH],MV_4G Data Volume_GB,VoLTE Traffic,Radio NW Availability
,24-Apr-23,404-02-704046-23,99.96,99.85,0.34,4156.96,380.49,69.23,94.55,100,8.46,77.42,98.49,0.99,0.56,0.09,,96.51,75,-105.94,64.55,61.68,88.56
,25-Apr-23,404-02-704046-23,99.94,99.74,0.3,3582.41,448.46,57.14,96.5,100,8.94,85.1,100,2.56,0.54,0.12,,94.59,100,-105.22,79.17,76.36,100
,26-Apr-23,404-02-704046-23,99.77,99.73,0.68,4005.4,343.1,62.07,95.7,94.44,8.66,80.45,100,1.06,0.32,0.13,,95.99,,-107.17,63.56,63.87,92.71
,27-Apr-23,404-02-704046-23,99.85,99.76,0.32,3671.52,454.74,66.67,90.18,100,8.31,77.85,100,0,0.3,0.05,,99.4,,-106.81,51.7,40.17,71.12
PB_E_F3_OM_GDH341A_A,23-Apr-23,404-02-402154-21,99.93,99.97,0.1,11915.85,471.34,99.33,96.16,100,8.76,42.67,100,0,0.21,0.06,,97.74,94.44,-99.42,60.56,41.65,100
,24-Apr-23,404-02-402154-21,99.93,99.94,0.16,6827.55,395.95,98.84,94.67,100,7.74,60.9,100,0,0.13,0.09,,98.21,94.64,-106.75,63.88,52.62,100
,25-Apr-23,404-02-402154-21,99.94,99.96,0.21,10648.53,1152.57,98.06,94.77,100,8.64,46.52,99.72,0,0.05,0.04,,99.49,100,-101.4,59.83,47.02,100
,26-Apr-23,404-02-402154-21,99.87,99.9,0.11,10480.77,918.42,98.45,95.16,100,8.24,41.98,100,0,0.15,0.04,,98.8,89.66,-101.23,55.61,39.79,100
,27-Apr-23,404-02-402154-21,99.9,99.96,0.07,7537.87,466.18,97.67,95.48,100,7.98,62.25,100,0,0.06,0.04,,99.33,95.92,-101.17,67.19,49.36,100
PB_E_F3_OM_GDH341B_B,23-Apr-23,404-02-402154-22,99.8,99.73,0.43,10504.86,727.98,99.66,94.08,100,9.62,42.75,100,0,0.22,0.08,,98.4,95.16,-100.24,48.82,51.06,100
