Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH],UL RSSI PUCCH,CSFB Redirection Success Rate [CDBH]
CH_E_F1_OM_MMIN18B_B,24-Mar-23,100,99.21,0.08,6222.65,289.07,99.31,100,9.47,-113.91,0,99.59,100,99.58,100,0.03,0.03,80.0309,113.92,75.71,,
,25-Mar-23,99.83,99.33,0.12,4276.3,526.11,99.81,100,9.04,-112.18,0,99.71,100,99.53,100,0.03,0.04,71.0967,111.25,78.83,,
,26-Mar-23,100,99.63,0.07,4784.85,689.12,99.67,100,8.37,-112.44,0,99.09,100,100,100,0.03,0.03,77.246,116.44,83.67,,
,27-Mar-23,100,99.72,0.3,3792.42,393.6,99.12,100,8.11,-113.84,0,99.22,100,100,100,0.03,0.04,80.5332,122.56,89.09,,
,28-Mar-23,99.91,99.79,0,2844.15,910.94,99.5,100,8.38,-113.62,0,99.62,100,100,100,0.03,0.04,83.265,112.45,93.32,,
CH_E_F1_OM_MMIN18C_C,24-Mar-23,100,99.47,0,4813.52,304.07,99.52,100,9.62,-115.02,0,100,100,100,100,0.02,0.06,98.5283,146.59,85.53,,
,25-Mar-23,100,99.92,0.03,8744.45,363.84,100,,9.81,-114.19,0,100,100,100,100,0.02,0.02,102.9153,141.83,84.25,,
,26-Mar-23,99.91,99.73,0.02,4719.8,360.31,100,100,10.22,-113.92,0,100,100,100,98.72,0.06,0.58,98.9254,138.37,82.69,,
,27-Mar-23,99.82,99.43,0.09,4600.63,624.99,99.28,100,9.22,-115.19,0,98.3,100,100,100,0.02,0.04,105.4404,145.17,86.8,,
,28-Mar-23,99.9,100,0.08,7004.58,531.03,99.01,100,10.31,-115.35,0,100,100,100,98.57,0.01,0.02,104.3707,151.07,76.48,,
CH_E_F1_OM_MOGW31A_A,24-Mar-23,99.71,99.83,0.11,4987.67,463.09,98.29,0,7,-112,0.31,81.52,100,98.8,98.28,0.57,0.2,51.7754,102.34,75.39,,
,25-Mar-23,99.79,99.83,0.08,10300.28,1149.84,99.11,,8.66,-113.37,0,98.31,100,99.49,100,0.1,0.06,43.8412,80.59,47.43,,
,26-Mar-23,99.86,99.72,0,13285.12,354.93,99.21,0,9.7,-114.58,0,100,100,100,100,0.17,0.05,55.773,56.74,72.23,,
