"Short name",,"4G_ECGI","TA Sampls > 1.5 Km % [CDBH]","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","VoLTE InterF HOSR Exec_Denom [CBBH]","VoLTE InterF HOSR Exec_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE Packet Loss DL_NOM [CBBH]","VoLTE Packet Loss UL_NOM [CBBH]","MV_VoLTE IntraF HOSR Exec_Denom [CBBH]","MV_VoLTE IntraF HOSR Exec_Nom [CBBH]"
,"19 Feb 23","404-96-245626-33",1.40,100.00,100.00,0.07,881.79,10626.75,9.49,99.64,94.61,0.00,0.00,37.50,100.00,0.61,0.03,0.12,,12.70,100.00,95.31,0.00,-117.10,34.9486,39.94,,,0.00,164.00,11.23,279.00,280.00,1334.00,1410.00,179.00,529.00,,
,"20 Feb 23","404-96-245626-33",0.53,100.00,100.00,0.10,847.40,5849.18,8.27,99.46,98.36,100.00,0.00,66.27,100.00,0.00,0.03,0.12,,12.09,99.47,100.00,0.00,-117.13,35.7773,47.79,,,0.00,171.00,16.32,367.00,369.00,1199.00,1219.00,195.00,700.00,,
,"21 Feb 23","404-96-245626-33",1.17,99.96,99.96,0.03,699.19,5282.91,8.65,100.00,93.86,100.00,0.00,73.40,100.00,0.00,0.03,0.19,,10.78,100.00,96.80,0.00,-117.17,46.1637,55.69,,,0.00,220.00,19.02,358.00,358.00,1283.00,1367.00,240.00,1262.00,,
"HR_ZQ_F1_OM_GHNA26D_D","17 Feb 23","404-96-245626-34",0.00,100.00,100.00,0.00,1793.32,32351.97,11.44,99.38,,100.00,0.00,18.11,100.00,0.00,0.03,0.00,,13.90,100.00,,0.00,-119.84,19.8534,21.71,,,0.00,127.00,5.78,160.00,161.00,0.00,0.00,79.00,8.00,,
,"18 Feb 23","404-96-245626-34",0.00,100.00,100.00,0.00,1648.55,16711.07,10.42,100.00,,100.00,0.00,18.47,100.00,0.00,0.00,0.07,,14.05,100.00,,0.00,-119.81,17.1414,20.11,,,0.00,81.00,7.15,228.00,228.00,0.00,0.00,13.00,166.00,,
,"19 Feb 23","404-96-245626-34",0.00,100.00,99.91,0.04,5128.28,40127.65,11.77,100.00,,100.00,0.00,12.49,100.00,0.00,0.02,0.01,,13.63,100.00,,0.00,-119.70,20.1426,15.87,,,0.00,48.00,5.53,153.00,153.00,0.00,0.00,70.00,14.00,,
,"20 Feb 23","404-96-245626-34",0.00,100.00,100.00,0.00,7140.89,29972.72,11.45,98.86,,100.00,0.00,12.24,100.00,0.00,0.00,0.04,,12.34,100.00,,0.00,-119.82,20.8545,19.87,,,0.00,123.00,8.49,173.00,175.00,0.00,0.00,14.00,76.00,,
,"21 Feb 23","404-96-245626-34",0.00,100.00,100.00,0.00,528.02,22606.53,10.67,100.00,,0.00,0.00,13.72,100.00,0.00,0.01,0.44,,6.27,100.00,,0.00,-119.78,15.3970,17.40,,,0.00,77.00,4.01,77.00,77.00,0.00,0.00,41.00,1054.00,,
"HR_ZQ_F1_OM_HSSR78A_A","17 Feb 23","404-96-902178-31",0.18,99.96,99.95,0.08,3945.12,1689.14,8.07,99.65,99.71,100.00,0.00,92.97,100.00,0.00,0.04,0.26,,11.83,99.48,98.40,0.00,-115.48,73.8747,203.49,,,0.00,1229.00,27.35,4013.00,4027.00,13577.00,13617.00,1322.00,6224.00,,
,"18 Feb 23","404-96-902178-31",0.22,99.94,99.99,0.09,4761.44,2767.88,7.53,99.64,99.42,100.00,0.00,82.96,100.00,0.13,0.06,0.48,,10.37,98.45,98.84,0.00,-115.37,62.3908,140.59,,,0.00,757.00,20.95,3041.00,3052.00,6557.00,6595.00,1078.00,6846.00,,
,"19 Feb 23","404-96-902178-31",0.31,100.00,99.96,0.01,4031.24,6235.67,8.18,98.59,99.83,100.00,0.00,53.66,100.00,0.00,0.04,0.21,,11.97,99.81,100.00,0.00,-115.95,52.9256,98.41,,,0.00,247.00,13.19,2511.00,2547.00,4618.00,4626.00,490.00,1876.00,,
,"20 Feb 23","404-96-902178-31",0.14,99.95,99.97,0.16,3281.76,1394.20,7.96,98.71,99.47,100.00,0.00,93.81,99.79,0.43,0.09,0.51,,11.33,99.31,98.40,0.00,-114.93,71.0792,219.31,,,0.00,1441.00,27.90,4524.00,4583.00,15140.00,15221.00,2714.00,10844.00,,
,"21 Feb 23","404-96-902178-31",0.38,99.96,99.99,0.05,2708.42,3353.65,8.66,99.10,99.55,100.00,0.00,72.32,100.00,0.33,0.07,0.66,,11.05,99.61,98.77,0.00,-115.05,73.8331,249.68,,,0.00,1519.00,21.07,3530.00,3562.00,10479.00,10526.00,2495.00,17233.00,,
